role,company
https://www.linkedin.com//in/anshaj-khare/,microsoft
https://www.linkedin.com//in/hazemsnabih/,microsoft
https://www.linkedin.com//in/clarencewong18/,microsoft
https://www.linkedin.com//in/mario-eyzaguirre-nakanishi/,microsoft
https://www.linkedin.com//in/harmehrchandok/,microsoft
https://www.linkedin.com//in/joeyslater/,microsoft
https://www.linkedin.com//in/ian-o-gara-921927/,microsoft
https://www.linkedin.com//in/maria-ferreira-1b2aa71b/,microsoft
https://www.linkedin.com//in/smp15/,microsoft
https://www.linkedin.com//in/fabianadafnecifone/,microsoft
https://www.linkedin.com//in/amygardener/,microsoft
https://www.linkedin.com//in/chandrikajain/,microsoft
https://www.linkedin.com//in/sakina-syed/,microsoft
https://www.linkedin.com//in/ido-shinberger/,microsoft
https://www.linkedin.com//in/lauraemonaghan/,microsoft
https://www.linkedin.com//in/jonathansimkins/,microsoft
https://www.linkedin.com//in/jdmeier/,microsoft
https://www.linkedin.com//in/jorishaverkort/,microsoft
https://www.linkedin.com//in/beatriz-vega-garre/,microsoft
https://www.linkedin.com//in/eduardoarturoayllonopazo/,microsoft
https://www.linkedin.com//in/robyn-dunn-jerard-47377757/,microsoft
https://www.linkedin.com//in/alyssa-cooper/,microsoft
https://www.linkedin.com//in/sujeetk-programmanager/,microsoft
https://www.linkedin.com//in/fernandoreyesgonzalez/,microsoft
https://www.linkedin.com//in/devagnanam/,microsoft
https://www.linkedin.com//in/stevenstokmans/,microsoft
https://www.linkedin.com//in/shilpiagrawal/,microsoft
https://www.linkedin.com//in/torsten-steingrimsson-8b494a66/,microsoft
https://www.linkedin.com//in/ravimundhe/,microsoft
https://www.linkedin.com//in/stephen-lowe-098aa324/,microsoft
https://www.linkedin.com//in/vilawan-withoonsomboon-1278299/,microsoft
https://www.linkedin.com//in/marcashbrook/,microsoft
https://www.linkedin.com//in/kazshinkai/,microsoft
https://www.linkedin.com//in/srajagopalan17/,microsoft
https://www.linkedin.com//in/robertmfeldmann/,microsoft
https://www.linkedin.com//in/hollyanneevans/,microsoft
